ID,COMUNE,PRO_COM
1,Altino,69001
2,Atessa,69005
3,Bomba,69006
4,Bomba,69006
5,Bomba,69006
6,Borrello,69007
7,Borrello,69007
8,Borrello,69007
9,Borrello,69007
10,Borrello,69007
11,Borrello,69007
12,Borrello,69007
13,Borrello,69007
14,Borrello,69007
15,Borrello,69007
16,Bucchianico,69008
17,Bucchianico,69008
18,Celenza Sul Trigno,69021
19,Celenza Sul Trigno,69021
20,Gessopalena,69040
21,Gissi,69041
22,Guardiagrele,69043
23,Guardiagrele,69017
24,Perano,69065
25,Pretoro,69069
26,Pretoro,69069
27,Rapino,69071
28,Roccamontepiano,69073
29,Roccamontepiano,69073
30,Roccamontepiano,69073
31,San Buono,69079
32,Alfedena,66003
33,Alfedena,66003
34,Alfedena,66003
35,Alfedena,66003
36,Cappadocia,58014
37,Cappadocia,58014
38,Cappadocia,66023
39,Cappadocia,66023
40,Cappadocia,66023
41,Cappadocia,66023
42,Cappadocia,66023
43,Castel del Monte,66026
44,Castel del Monte,66026
45,Fagnano Alto,66042
46,Fagnano Alto,66042
47,Fagnano Alto,68029
48,Massa d'Albe,66054
49,Navelli,66058
50,Sante Marie,66089
51,Sante Marie,66089
52,Sante Marie,66089
53,Villa Santa Lucia degli Abruzzi,66104
54,Cepagatti,68011
55,Civitella Casanova,68014
56,Civitella Casanova,68014
57,Civitella Casanova,68014
58,Loreto Aprutino,68021
59,Tocco da Casauria,68043
60,Tocco da Casauria,68042
61,Atri,67004
62,Castiglione M.R.,67013
63,Castiglione M.R.,67013
64,Fano Adriano,67024
65,Fano Adriano,67024
66,Fano Adriano,67024
67,Fano Adriano,67024
68,Fano Adriano,67024
69,Fano Adriano,67024
70,Fano Adriano,67024
71,Fano Adriano,67024
72,Fano Adriano,67024
73,Fano Adriano,67024
1,Ferrandina,77008
2,Ferrandina,77008
3,Ferrandina,77008
4,Matera,77014
5,Matera,77014
6,Matera,77014
7,Matera,77014
8,Matera,77014
9,Matera,77014
10,Matera,77014
11,Matera,77014
12,Matera,77014
13,Montescaglioso,77017
14,Rotondella,77023
15,Salandra,77024
16,Salandra,77024
17,San Giorgio Lucano,77025
18,Albano di Lucania,76003
19,Avigliano,76007
20,Avigliano,76007
21,Barile,76011
22,Bella,76012
23,Bella,76012
24,Bella,76012
25,Bella,76012
26,Bella,76012
27,Brienza,76013
28,Calvello,76015
29,Campomaggiore,76017
30,Campomaggiore,76017
31,Cancellara,76090
32,Cancellara,76018
33,Chiaromonte,76028
34,Filiano,76032
35,Forenza,76033
36,Francavilla in Sinni ,76034
37,Francavilla in Sinni ,76034
38,Gallicchio,76035
39,Gallicchio,76035
40,Genzano di Lucania,76036
41,Grumento Nova,76037
42,Lagonegro,76039
43,Lagonegro,76039
44,Lagonegro,76039
45,Lagonegro,76039
46,Laurenzana,76041
47,Laurenzana,76015
48,Laurenzana,76041
49,Laurenzana,76041
50,Laurenzana,76041
51,Laurenzana,76041
52,Laurenzana,76041
53,Lauria,76042
54,Melfi,76048
55,Melfi,76048
56,Nemoli,76054
57,Pescopagano,76058
58,Pescopagano,76058
59,Picerno,76059
60,Pietragalla,76060
61,Pietragalla,76060
62,Pietragalla,76060
63,Pietragalla,76060
64,Pietragalla,76060
65,Pietragalla,76060
66,Pietragalla,76060
67,Pietragalla,76060
68,Pietragalla,76042
69,Pietragalla,76060
70,Pietragalla,76060
71,Pietragalla,76060
72,Pietrapertosa,76061
73,Potenza,76063
74,Potenza,76063
75,Ripacandida ,76067
76,Ripacandida ,76067
77,Ripacandida ,76067
78,Ripacandida ,76067
79,Ripacandida ,76067
80,Ripacandida ,76067
81,Rivello ,76068
82,Rivello ,76068
83,Roccanova,76069
84,Ruoti,76071
85,San Fele,76076
86,San Fele,76076
87,San Fele,76076
88,San Martino d'Agri,76077
89,San Martino d'Agri,76077
90,San Martino d'Agri,76077
91,San Martino d'Agri,76077
92,San Paolo Albanese,76020
93,San Paolo Albanese,76020
94,San Severino Lucano,76078
95,San Severino Lucano,76078
96,Sasso di Castalda,76082
97,Terranova di Pollino,76088
98,Tito,76089
99,Tito,76089
100,Tito,76089
101,Tito,76089
102,Tito,76089
103,Trecchina,76092
104,Viggianello,76097
1,Appiano ,21015
2,Bolzano,21008
4,Brennero,21010
5,Bressanone,21011
6,Bressanone,21011
7,Brunico,21013
8,Chiusa,21022
9,Cornedo all'Isarco,21023
10,Cortaccia ,21024
11,Curon Venosta,21027
12,Falzes,21030
13,Laces,21082
14,Laion,21039
15,Laives,21040
16,Malles Venosta,21046
17,Magrè,21045
