ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/D014/GO/06,Gorizia ,Cormons,Plessiva,"45°58'51,33"" ","13°29'56,30"" ",109,si,Quercus pubescens Willd.,Roverella ,433,15,a) età e/o dimensioni,no,13.623203,45.940961
2,01/E098/GO/06,Gorizia ,Gorizia ,Parco del Municipio,"45°56'27,46"" ","13°37'23,53"" ",85,si,Platanus acerifolia (Aiton) Willd.,Platano comune,450,30,a) età e/o dimensioni,no,13.630367,45.946894
3,02/E098/GO/06,Gorizia ,Gorizia ,Via Franconia,"45°56'48,82"" ","13°37'49,32"" ",100,si,Insieme omogeneo di Castanea sativa Mill.,Castagno,450 (med) 520 (max),"22,0 (med) 25,0 (max)",a) età e/o dimensioni c) valore ecologico ,si,13.628081,45.944514
4,03/E098/GO/06,Gorizia ,Gorizia ,Borgo Castello,"45°56'40,25"" "," 13°37'41,09"" ",120,si,Platanus acerifolia (Aiton) Willd.,Platano comune,455,30,a) età e/o dimensioni,no,13.626622,45.938053
5,04/E098/GO/06,Gorizia ,Gorizia ,Piazza San Rocco,"45°56'16,99"" ","13°37'35,84"" ",80,si,Morus alba L.,Gelso bianco,280,8,a) età e/o dimensioni ,no,13.620575,45.945356
6,05/E098/GO/06,Gorizia ,Gorizia ,Giardini Pubblici - Piazza Cesare Battisti,"45°56'43,28"" ","13°37'14,07"" ",85,si,Magnolia grandiflora L.,Magnolia,272,18,"a) età e/o dimensioni b) forma e portamento g) valore storico, culturale e religioso ",si,13.593808,45.940303
7,06/E098/GO/06,Gorizia ,Gorizia ,"Via Attems, 89 ","45°56'25,09"" ","13°35'37,71"" ",60,si,Insieme omogeneo di Paulownia tomentosa (Thunb.) Steud.,Paulonia,370 (med) 400 (max),"5,0 (med) 6,0 (max)","a) età e/o dimensioni c) valore ecologico g) valore storico, culturale e religioso ",no,13.626339,45.950308
8,07/E098/GO/06,Gorizia ,Gorizia ,"Via Riva del Corno, 20","45°57'01,11"" "," 13°37'34,82""",83,si,Morus alba L.,Gelso bianco,280,8,a) età e/o dimensioni ,no,13.493992,45.885106
9,01/E124/GO/06,Gorizia ,Gradisca d'Isonzo,"Viale Trieste, 74","45°53'06,38""","13°29'38,37''",30,si,Magnolia grandiflora L.,Magnolia,365,16,a) età e/o dimensioni,no,13.499431,45.888889
10,02/E124/GO/06,Gorizia ,Gradisca d'Isonzo,"Via Giuseppe Garibaldi, 45","45°53'20,00''","13°29'57,95''",30,si,Pinus halepensis Mill.,Pino d'Aleppo,325,19,a) età e/o dimensioni,no,13.542050,45.940933
11,01/F767/GO/06,Gorizia ,Mossa,Via dei Codelli,"45°56'27,36""","13°32'31,38""",95,no,Quercus robur L.,Farnia,500,16,a) età e/o dimensioni f) pregio paesaggistico,no,13.500419,45.825253
12,01/H531/GO/06,Gorizia ,Ronchi dei Legionari,"Tenuta di Blasig - Via Roma, 63","45°49'30,91''","13°30'01,51''",11,si,Populus nigra L.,Pioppo nero,410,25,a) età e/o dimensioni,no,13.581819,45.886928
13,02/I479/GO706,Gorizia ,Savogna d'Isonzo,"Gabria - Piazza Indipendenza, 4","45°53'12,94''"," 13°34'54,55''",30,si,Wisteria sinensis (Sims) Sweet,Glicine,120,14,b) forma e portamento,no,13.500197,45.805247
14,01/I939/GO/06,Gorizia ,Staranzano,Piazza Dante Alighieri,"45°48'18,89""","13°30'00,71""",6,si,Celtis australis L.,Bagolaro ,436,16,"a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso",no,12.528181,46.129528
15,01/A516/PN/06,Pordenone,Aviano,Bacino Pian delle More,"46°07'46,30''","12°31'41,45''",1193,no,Fagus sylvatica L.,Faggio,470,18,a) età e/o dimensioni,no,12.569986,46.076719
16,02/A516/PN/06,Pordenone,Aviano,Colle San Giorgio," 46°04'36,19'"," 12°34'11,95''",300,no,Acer campestre L.,Acero campestre,670,12,a) età e/o dimensioni b) forma e portamento,no,12.472236,46.187264
17,01/A640/PN/06,Pordenone,Barcis,Foresta del Prescudin,"46°11'14,15"" ","12°28'20,05"" ",1100,no,Taxus baccata L.,Tasso,424,15,a) età e/o dimensioni c) valore ecologico,no,12.430900,45.967217
18,01/B598/PN/06,Pordenone,Caneva,"Stevenà - Via Dario Chiaradia, 17","45°58'01,98""","12°25'51,24""",66,no,Celtis australis L.,Bagolaro ,450,28,a) età e/o dimensioni ,no,12.448008,45.968514
19,02/B598/PN/06,Pordenone,Caneva,Piazza Martiri Garibaldini,"45°58'06,65""","12°26'52,83""",49,si,Tilia cordata Mill.,Tiglio selvatico,282,19,"g) valore storico, culturale e religioso ",no,12.430958,46.001578
20,03/B598/PN/06,Pordenone,Caneva ,Malga Tambon - Posta Mutton,"46°00'05,68""","12°25'51,45""",760,no,Castanea sativa Mill.,Castagno,430,12,a) età e/o dimensioni c) valore ecologico,no,12.554947,46.248442
21,01/C790/PN/06,Pordenone,Claut,Casera Ressetum - Cima Lastruta,"46°14'54,39''","12°33'17,81''",1530,no,Picea abies (L.) H. Karst.,Abete rosso,386,22,a) età e/o dimensioni c) valore ecologico,no,12.555672,46.248283
22,02/C790/PN/06,Pordenone,Claut,Casera Ressetum - Cima Lastruta,"46°14'53,82''","12°33'20,42''",1540,no,Picea abies (L.) H. Karst.,Abete rosso,452,22,a) età e/o dimensioni c) valore ecologico,no,12.627575,46.332175
23,03/C790/PN/06,Pordenone,Claut,Malga Senons - Cima Naritas,"46°19'55,83''","12°37'39,27''",1300,no,Picea abies (L.) H. Karst.,Abete rosso,402,33,a) età e/o dimensioni ,no,12.627917,46.332269
24,04/C790/PN/06,Pordenone,Claut,Malga Senons - Cima Naritas,"46°19'56,17''","12°37'40,50""",1320,no,Picea abies (L.) H. Karst.,Abete rosso,442,27,a) età e/o dimensioni ,no,12.622617,46.334308
25,05/C790/PN/06,Pordenone,Claut,Pian de MIo,"46°20'03,51''","12°37'21,42''",1290,no,Fagus sylvatica L.,Faggio,405,29,a) età e/o dimensioni c) valore ecologico,no,12.674250,45.921122
26,01/D621/PN/06,Pordenone,Fiume Veneto ,Guarda di Sotto,"45°55'16,04"" ","12°40'27,30"" ",20,no,Quercus robur L.,Farnia,545,25,a) età e/o dimensioni,no,12.700992,46.172917
27,01/E889/PN/06,Pordenone,Maniago,Ruderi Castello - Strada Valpiccola,"46°10'22,50''","12°42'03,57''",341,no,Fagus sylvatica L.,Faggio,445,35,a) età e/o dimensioni,no,12.706431,46.169100
28,02/E889/PN/06,Pordenone,Maniago,"Via della Vittoria, 3","46°10'08,76''","12°42'23,15''",287,si,Thuja plicata Donn ex D.Don,Tuia gigante,435,22,a) età e/o dimensioni,no,12.615808,45.959250
29,01/G886/PN/06,Pordenone,Porcia,Via del Tulipifero,"45°57'33,30"""," 12°36'56,91"" ",30,si,Liriodendron tulipifera L.,Albero dei tulipani,455,32,a) età e/o dimensioni f) pregio paesaggistico,no,12.617894,45.957086
30,02/G886/PN/06,Pordenone,Porcia,"Via Guglielmo Marconi, 2","45°57'25,51"" ","12°37'04,42"" ",25,si,Celtis australis L.,Bagolaro ,450,22,a) età e/o dimensioni b) forma e portamento,no,12.616297,45.958394
31,03/G886/PN/06,Pordenone,Porcia,"Parco Correr Dolfin - Via Correr, 69","45°57'30,22'' ","12°36'58,67"" ",25,si,Magnolia grandiflora L.,Magnolia,245,15,a) età e/o dimensioni b) forma e portamento,no,12.869358,46.163636
