ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,02/A048/BA/16,Bari,Acquaviva delle Fonti,Strada Provinciale Acquaviva delle Fonti - Gioia del Colle,"40°51'44,30""","16°52'36,53""",320,no,Quercus pubescens Willd.,Roverella,400,23,a) età e/o dimensioni ,no,16.876814,40.894722
2,03/A048/BA/16,Bari,Acquaviva delle Fonti,Masseria Baronaggio - Strada Provinciale Acquaviva delle Fonti - Gioia del Colle,"40°51'47,31""","16°52'28,80""",320,no,Quercus pubescens Willd.,Roverella,330,17,a) età e/o dimensioni b) forma e portamento ,no,16.874667,40.894722
3,04/A048/BA/16,Bari,Acquaviva delle Fonti,Masseria Magazzeni - Strada vicinale Marchesana,"40°50'17,62""","16°51'44,49""",350,no,Quercus pubescens Willd.,Roverella,430,10.5,a) età e/o dimensioni ,no,16.862358,40.878056
4,05/A048/BA/16,Bari,Acquaviva delle Fonti,Masseria Baronaggio - Strada Provinciale Acquaviva delle Fonti - Gioia del Colle,"40°51'25,34""","16°52'54,40""",327,no,Quercus pubescens Willd.,Roverella,410,24,a) età e/o dimensioni ,no,16.881778,40.894722
5,01/A225/BA/16,Bari,Altamura,Masseria del Pulo - Strada Provinciale n. 157,"40°52'58,07""","16°34'36,55""",472,no,Quercus robur L.,Farnia,415,22,a) età e/o dimensioni d) rarità botanica,no,16.576819,40.911389
6,02/A225/BA/16,Bari,Altamura,Masseria Malerba - Strada Provinciale n. 157,"40°52'58,30""","16°34'41,03""",382,no,Quercus pubescens Willd.,Roverella,405,22,a) età e/o dimensioni ,no,16.578064,40.911389
7,03/A225/BA/16,Bari,Altamura,Mercadante,"40°53'10,53""","16°40'46,20""",400,no,Quercus pubescens Willd.,Roverella,400,18,a) età e/o dimensioni b) forma e portamento c) valore ecologico ,no,16.679500,40.928056
8,05/A662/BA/16,Bari,Bari,Carbonara di Bari - Scuola Armando Diaz ,"41°04'14,74"" ","16°52'19,46""",55,si,Quercus ilex L.,Leccio,215,12,"a) età e/o dimensioni g) valore storico, culturale, religioso",no,16.872072,41.111389
9,06/A662/BA/16,Bari,Bari,Corso Alcide De Gasperi angolo Via Ugo La Malfa,"41°05'54,86""","16°52'16,70""",26,si,Pinus halepensis Mill.,Pino d'Aleppo,570,17,a) età e/o dimensioni ,no,16.871306,41.128056
10,07/A662/BA/16,Bari,Bari,Piazza Umberto I,"41°07'14,34""","16°52'08,90""",6,si,Phytolacca dioica L.,Fitolacca arborea,250,6,a) età e/o dimensioni b) forma e portamento d) rarità botanica,no,16.869139,41.161389
11,08/A662/BA/16,Bari,Bari,Piazza Umberto I,"41°07'14,34""","16°52'08,90""",6,si,Nolina longifolia (Karw. ex Schult. & Schult.f.) Hemsl.,Pianta mangiafumo,300,4.5,a) età e/o dimensioni b) forma e portamento d) rarità botanica,no,16.869139,41.161389
12,01/E038/BA/16,Bari,Gioia del Colle,Masseria Soria,non posizionata correttamente,,328,no,Quercus pubescens Willd.,Roverella,375,22,a) età e/o dimensioni ,no?,0.000000,0.000000.non posizionata correttamente
13,02/E038/BA/16,Bari,Gioia del Colle,Masseria Soria,non posizionata correttamente,,328,no,Quercus pubescens Willd.,Roverella,430,20.5,a) età e/o dimensioni ,no?,0.000000,0.000000.non posizionata correttamente
14,03/E038/BA/16,Bari,Gioia del Colle,Masseria Soria,non posizionata correttamente,,328,no,Quercus pubescens Willd.,Roverella,245-205-165-130,20.5,a) età e/o dimensioni b) forma e portamento ,no?,0.000000,0.000000.non posizionata correttamente
15,04/E038/BA/16,Bari,Gioia del Colle,Masseria Soria,non posizionata correttamente,,328,no,Quercus pubescens Willd.,Roverella,405,20.5,a) età e/o dimensioni ,no?,0.000000,0.000000.non posizionata correttamente
16,01/G787/BA/16,Bari,Polignano a Mare,Masseria Montepaolo - Via Castellana - Polignano,"40°56'50,55""","17°10'57,22""",210,no,Quercus ilex L.,Leccio,400,19,a) età e/o dimensioni ,no,17.182561,40.980833
17,02/G787/BA/16,Bari,Polignano a Mare,La Grave,"40°59'10,80""","17°12'29,05""",60,no,Ceratonia siliqua L.,Carrubo,820,9.5,"a) età e/o dimensioni b) forma e portamento g) valore storico, culturale, religioso",si,17.208069,41.030833
18,03/G787/BA/16,Bari,Polignano a Mare,La Grave,"40°59'10,91""","17°12'29,02""",60,no,Ceratonia siliqua L.,Carrubo,410,9,a) età e/o dimensioni ,si,17.208061,41.030833
19,04/G787/BA/16,Bari,Polignano a Mare,La Grave,"40°59'09,62""","17°12'29,70""",60,no,Ceratonia siliqua L.,Carrubo,350,9,a) età e/o dimensioni ,si,17.208250,41.030833
20,05/G787/BA/16,Bari,Polignano a Mare,La Grave,"40°59'11,24''"," 17°12'29,29''",60,no,Ceratonia siliqua L.,Carrubo,390,9.5,a) età e/o dimensioni b) forma e portamento,si,17.208136,41.030833
21,01/H645/BA/16,Bari,Ruvo di Puglia,Scoparelle - Jazzo del Demonio,"41°01'48,34''"," 16°25'44,09''",350,no,Quercus pubescens Willd.,Roverella,390,15,"a) età e/o dimensioni b) forma e portamento c) valore ecologico e) architettura vegetale g) valore storico, culturale, religioso",si,16.428914,41.061389
22, 01/I330/BA/16,Bari,Santeramo in Colle,Stabilimento De Laurentis,"40°44'47,71''"," 16°42'12,28''",402,no,Quercus ilex L.,Leccio,330,17.5,a) età e/o dimensioni ,no,16.703411,40.778056
23,01/L220/BA/16,Bari,Toritto ,Quasano - Parco Albero della Bugia,"40°58'06,29''"," 16°34'41,19''",368,si,Quercus ilex L.,Leccio,320,11,"a) età e/o dimensioni g) valore storico, culturale, religioso",no,16.578108,41.011389
24,02/F631/FG/16,Foggia,Monte Sant'Angelo ,Foresta Umbra - Falascone ,"41°48'38,99""","15°59'06,63""",760,no,Taxus baccata L.,Tasso,471,9,a) età e/o dimensioni b) forma e portamento d) rarità botanica,no,15.985175,41.841944
25,03/F631/FG/16,Foggia,Monte Sant'Angelo ,Foresta Umbra - Villaggio Forestale ,"41°49'10,46"" ","15°59'44,02""",805,no,Pinus nigra J. F. Arnold,Pino nero,345,32,"a) età e/o dimensioni b) forma e portamento g) valore storico, culturale, religioso",no,15.995561,41.858611
26,04/F631/FG/16,Foggia,Monte Sant'Angelo ,Foresta Umbra - I Baracconi,"41°49'14,19"" ","15°59'57,22""",810,no,Fagus sylvatica L.,Faggio,584,21,"a) età e/o dimensioni b) forma e portamento g) valore storico, culturale, religioso",no,15.999228,41.858611
27,05/F361/FG/16,Foggia,Monte Sant'Angelo ,Foresta Umbra - Falascone ,"41°4837,73""","15°59'20,03""",726,no,Taxus baccata L.,Tasso,402,13,a) età e/o dimensioni d) rarità botanica,no,0.000000,"0.000000""15d59'20.03"""""".""41d4837.73"""""""
28,06/F361/FG/16,Foggia,Monte Sant'Angelo ,Foresta Umbra - Falascone ,"41°48'39,32""","15°59'15,18""",745,no,Fagus sylvatica L.,Faggio,468,32,a) età e/o dimensioni b) forma e portamento ,no,15.987550,41.841944
29,07/F361/FG/16,Foggia,Monte Sant'Angelo ,Foresta Umbra - La Fontana ,"41°49'10,90"" ","15°59'29,09""",805,no,Fagus sylvatica L.,Faggio,480,34,a) età e/o dimensioni ,no,15.991414,41.858611
30,08/F361/FG/16,Foggia,Monte Sant'Angelo ,Foresta Umbra - Cutino d'Umbra ,"41°48'58,12"" "," 15°59'43,55""",785,no,Carpinus betulus L. ,Carpino bianco,390,31,a) età e/o dimensioni ,no,15.995431,41.841944
31,09/F631/FG/16,Foggia,Monte Sant'Angelo,Foresta Umbra - Falascone ,"41°48'44,00"" "," 15°59'15,39""",745,no,Taxus baccata L.,Tasso,395,10,a) età e/o dimensioni d) rarità botanica,no,15.987608,41.841944
32,10/F631/FG/16,Foggia,Monte Sant'Angelo,Foresta Umbra - Falascone ,"41°48'43,97"" "," 15°59'15,71""",745,no,Taxus baccata L.,Tasso,378,23,a) età e/o dimensioni d) rarità botanica,no,15.987697,41.841944
33,11/F631/FG/16,Foggia,Monte Sant'Angelo,Foresta Umbra - Falascone ,"41°48'44,02"" "," 15°59'15,44""",745,no,Taxus baccata L.,Tasso,317,20,a) età e/o dimensioni d) rarità botanica,no,15.987622,41.841944
34,12/F631/FG/16,Foggia,Monte Sant'Angelo,Foresta Umbra - Falascone ,"41°48'44,18"" "," 15°59'15,60""",745,no,Taxus baccata L.,Tasso,291,24,a) età e/o dimensioni d) rarità botanica,no,15.987667,41.841944
35,13/F361/FG/16,Foggia,Monte Sant'Angelo,Foresta Umbra - Falascone ,"41°48'43,92"" "," 15°59'15,87""",745,no,Taxus baccata L.,Tasso,291,24,a) età e/o dimensioni d) rarità botanica,no,15.987742,41.841944
36,14/F361/FG/16,Foggia,Monte Sant'Angelo,Foresta Umbra - Falascone ,"41°48'44,15"" "," 15°59'16,02""",746,no,Taxus baccata L.,Tasso,360,23,a) età e/o dimensioni d) rarità botanica,no,15.987783,41.841944
37,15/F361/FG/16,Foggia,Monte Sant'Angelo,Foresta Umbra - Falascone ,"41°48'44,20"" "," 15°59'16,33""",745,no,Taxus baccata L.,Tasso,355,24.5,a) età e/o dimensioni d) rarità botanica,no,15.987869,41.841944
38,01/F777/FG/16,Foggia,Motta Montecorvino,Strada Statale n. 17,"41°30'26,33"" "," 15°06'14,42""",651,si,Quercus pubescens Willd.,Roverella,500,10,"a) età e/o dimensioni g) valore storico, culturale, religioso",si,15.104006,41.541944
39,01/M131/FG/16,Foggia,Volturara Appula,Bufera,"41°31'00,54"" "," 15°04'47,52""",852,no,Quercus pubescens Willd.,Roverella,380,22,a) età e/o dimensioni ,no,15.079867,41.558611
40,01/B506/LE/16,Lecce,Campi Salentina,Pitanti,"40°23'32,80"" "," 18°00'02,93""",30,no,Quercus ithaburensis subsp. macrolepis (Kotschy) Hedge & Yalt.,Quercia vallonea,345,20,a) età e/o dimensioni d) rarità botanica,no,18.000814,40.433611
