ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/B354/CA/20,Città metropolitana Cagliari (Cagliari),Cagliari,Giardini Pubblici - Viale Regina Elena,"39°13'32,00''","9°06'59,00''",70,si,Jacaranda mimosaefolia D. Don,Jacaranda,174,16,a) età e/o dimensioni d) rarità botanica e) architettura vegetale f) pregio paesaggistico ,vigente,9.120556,39.215000
2,02/B354/CA/20,Città metropolitana Cagliari (Cagliari),Cagliari,Parco della Rimembranza ,"39°12'54,00''","9°07'14,00''",15,si,Prosopis torquata (Lag) DC.,Tintitaco,300,17,"a) età e/o dimensioni b) forma e portamento e) architettura vegetale g) valore storico, culturale, religioso",vigente,9.109703,39.214939
3,03/B354/CA/20,Città metropolitana Cagliari (Cagliari),Cagliari,Piazza Giacomo Matteotti ,"39°12'53,78''","9°06'34,93''",2,si,Ficus macrophylla Desf.ex Pers.,Fico magnolioide ,1200,22,"a) età e/o dimensioni b) forma e portamento e) architettura vegetale g) valore storico, culturale, religioso",vigente,9.118333,39.220833
4,04/B354/CA/20,Città metropolitana Cagliari (Cagliari),Cagliari,"Vico VII San Giovanni, 7","39°13'15,00''","9°07'06,00''",50,si,Araucaria heterophylla (Salisb.) Franco,Pino di Norfolk,340,38,a) età e/o dimensioni b) forma e portamento e) architettura vegetale f) pregio paesaggistico,vigente,9.012361,39.139133
5,01/B675/CA/20,Città metropolitana Cagliari (Cagliari),Capoterra,Su Loy,"39°08'20,88''","9°00'44,50''",4,si,Eucalyptus camaldulensis Dehnh.,Eucalitto rostrato,753,25,a) età e/o dimensioni ,vigente,8.958300,39.171397
6,02/B675/CA/20,Città metropolitana Cagliari (Cagliari),Capoterra,Baccu Tinghinu,"39°10'17,03''","8°57'29,88''",110,no,Juniperus oxycedrus L.,Ginepro coccolone,350,11,a) età e/o dimensioni ,vigente,9.498744,39.236536
7,01/M288/CA/20,Città metropolitana Cagliari (Cagliari),Castiadas,Ex Carceri - Centrale,"39°14'11,53''","9°29'55,48''",165,no,Ceratonia siliqua L.,Carrubo,345,8,a) età e/o dimensioni ,vigente,9.174147,39.381608
8,01/D323/CA/20,Città metropolitana Cagliari (Cagliari),Dolianova,Piazza San Pantaleo,"39°22'53,79""","9°10'26,93""",208,si,Pinus halepensis Mill.,Pino d'Aleppo,340,19,a) età e/o dimensioni d) forma e portamento e) architettura vegetale f) pregio paesaggistico ,vigente,9.173189,39.381644
9,02/D323/CA/20,Città metropolitana Cagliari (Cagliari),Dolianova,Cattedrale San Pantaleo - Via Vescovado ,"39°22'53,92""","9°10'23,48""",208,si,Pinus halepensis Mill.,Pino d'Aleppo,265,17,a) età e/o dimensioni b) forma e portamento e) architettura vegetale,no,9.220136,39.355511
10,03/D323/CA/20,Città metropolitana Cagliari (Cagliari),Dolianova,Vivaio F. D. Monte Arrubiu,"39°21'19,84""","9°13'12,49""",445,no,Eucalyptus globulus Labill.,Eucalitto blu,520,36,a) età e/o dimensioni ,no,9.121647,39.706578
